2020-11-29 11:59:29 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-29 11:59:56 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-30 12:00:08 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-30 12:52:05 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-30 03:05:45 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-30 03:09:15 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-30 03:13:41 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-30 03:14:23 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-30 03:14:32 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-30 03:55:16 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-30 05:00:36 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-30 08:53:55 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-30 08:54:07 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-30 10:36:34 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-30 10:36:52 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-30 10:37:14 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-30 11:53:22 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-30 11:57:17 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-11-30 11:59:09 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-12-01 12:03:55 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-12-01 12:04:04 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-12-01 12:55:29 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-12-01 12:55:37 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-12-01 12:58:41 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-12-01 01:00:40 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-12-01 01:27:24 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-12-01 01:28:10 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-12-01 02:31:41 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-12-01 03:20:24 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-12-01 09:23:47 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-12-01 09:23:57 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
2020-12-02 10:01:20 [INFO ]: tt.jointtrajineuclidtime3i.solver.ODSolver - Found solution! Cost: 3200.0031999999997; A* exp. states: 2674; A* runtime: NOT IMPLEMENTED
